穴位、经脉、常见病症名称,H1_Link
（8） 神阙 Shénquè,/lilunshuji/zhenjiuxue/3124.html
（9） 水分 Shuǐfēn,/lilunshuji/zhenjiuxue/3125.html
（10） 下脘 Xiàwǎn,/lilunshuji/zhenjiuxue/3126.html
（11） 建里 Jiànlǐ,/lilunshuji/zhenjiuxue/3127.html
（12） 中脘 Zhōngwǎn,/lilunshuji/zhenjiuxue/3128.html
（13） 上脘 Shàngwǎn,/lilunshuji/zhenjiuxue/3129.html
（14） 巨阙 Jùquè,/lilunshuji/zhenjiuxue/3130.html
（15） 鸠尾 Jiūwěi,/lilunshuji/zhenjiuxue/3131.html
（16） 中庭 Zhōngtíng,/lilunshuji/zhenjiuxue/3132.html
（17） 膻中 Dànzhōng,/lilunshuji/zhenjiuxue/3133.html
（18） 玉堂 Yùtáng,/lilunshuji/zhenjiuxue/3134.html
（19） 紫宫 Zǐgōng,/lilunshuji/zhenjiuxue/3135.html
（20） 华盖 Huágài,/lilunshuji/zhenjiuxue/3136.html
（21） 璇玑 Xuánjī,/lilunshuji/zhenjiuxue/3137.html
（22） 天突 Tiāntū,/lilunshuji/zhenjiuxue/3138.html
（23） 廉泉 Liánquán,/lilunshuji/zhenjiuxue/3139.html
（24） 承浆 Chéngjiāng,/lilunshuji/zhenjiuxue/3140.html
奇经八脉  三、冲脉,/lilunshuji/zhenjiuxue/93-5-15.html
奇经八脉  四、带脉,/lilunshuji/zhenjiuxue/93-5-16.html
奇经八脉  五、阴维脉,/lilunshuji/zhenjiuxue/93-5-17.html
奇经八脉  六、阳维脉,/lilunshuji/zhenjiuxue/93-5-18.html
奇经八脉  七、阴跷脉,/lilunshuji/zhenjiuxue/93-5-19.html
奇经八脉  八、阳跷脉,/lilunshuji/zhenjiuxue/93-5-20.html
十五络脉,/lilunshuji/zhenjiuxue/93-5-21.html
节,/lilunshuji/zhenjiuxue/93-5-23_group.html
（1） 四神聪 Sìshéncōng,/lilunshuji/zhenjiuxue/3148.html
（2） 鱼腰 Yúyāo,/lilunshuji/zhenjiuxue/3149.html
（3） 上明 Shàngmíng,/lilunshuji/zhenjiuxue/3207.html
（4） 太阳 Tàiyáng,/lilunshuji/zhenjiuxue/3150.html
（5） 耳尖 Erjiān,/lilunshuji/zhenjiuxue/3151.html
（6） 球后 Qíuhòu,/lilunshuji/zhenjiuxue/3152.html
（7） 上迎香 Shàngyíngxiāng,/lilunshuji/zhenjiuxue/3153.html
（8） 内迎香 Nèiyíngxiāng,/lilunshuji/zhenjiuxue/3154.html
（9） 夹承浆 Jiáchéngjiāng,/lilunshuji/zhenjiuxue/3155.html
（10） 金津、玉液 Jīnjīn、Yùyè,/lilunshuji/zhenjiuxue/3156.html
（11） 牵正 Qiānzhèng,/lilunshuji/zhenjiuxue/3158.html
（12） 翳明 Yìmíng,/lilunshuji/zhenjiuxue/3157.html
（13） 安眠 Anmián,/lilunshuji/zhenjiuxue/3159.html
节,/lilunshuji/zhenjiuxue/93-5-24_group.html
（1） 子宫 Zǐgōng,/lilunshuji/zhenjiuxue/3209.html
（2） 三角灸 Sānjiǎojiǔ,/lilunshuji/zhenjiuxue/3210.html
节,/lilunshuji/zhenjiuxue/93-5-25_group.html
（1） 定喘 Dìngchuǎn,/lilunshuji/zhenjiuxue/3212.html
（2） 夹脊 Jiájǐ,/lilunshuji/zhenjiuxue/3213.html
（3） 胃脘下俞 Wèiwǎnxiàshū,/lilunshuji/zhenjiuxue/3214.html
（4） 腰眼 Yāoyǎn,/lilunshuji/zhenjiuxue/3215.html
（5） 十七椎 Shíqīzhuī,/lilunshuji/zhenjiuxue/3216.html
（6） 腰奇 Yāoqí,/lilunshuji/zhenjiuxue/3217.html
节,/lilunshuji/zhenjiuxue/93-5-26_group.html
（1） 肩前 Jiānqián,/lilunshuji/zhenjiuxue/3219.html
（2） 肘尖 Zhóujiān,/lilunshuji/zhenjiuxue/3220.html
（3） 二白 Erbái,/lilunshuji/zhenjiuxue/3221.html
（4） 中魁 Zhōngkuí,/lilunshuji/zhenjiuxue/3222.html
（5） 腰痛点 Yāotòngdiǎn,/lilunshuji/zhenjiuxue/3223.html
（6） 落枕穴 Luòzhěnxué,/lilunshuji/zhenjiuxue/3224.html
（7） 外劳宫 Wàiláogōng,/lilunshuji/zhenjiuxue/3225.html
（8） 八邪 Bāxié,/lilunshuji/zhenjiuxue/3226.html
（9） 四缝 Sìfèng,/lilunshuji/zhenjiuxue/3227.html
（10） 十宣 Shíxuān,/lilunshuji/zhenjiuxue/3228.html
节,/lilunshuji/zhenjiuxue/93-5-27_group.html
（1） 环中 Huánzhōng,/lilunshuji/zhenjiuxue/3230.html
（2） 百虫窝 Bǎichōngwō,/lilunshuji/zhenjiuxue/3231.html
（3） 鹤顶 Hèdǐng,/lilunshuji/zhenjiuxue/3232.html
（4） 膝眼 Xīyǎn,/lilunshuji/zhenjiuxue/3233.html
（5） 胆囊 Dǎnnáng,/lilunshuji/zhenjiuxue/3234.html
（6） 阑尾 Lánwěi,/lilunshuji/zhenjiuxue/3235.html
（7） 内踝尖 Nèihuáijiān,/lilunshuji/zhenjiuxue/3236.html
（8） 外踝尖 Wàihuáijiān,/lilunshuji/zhenjiuxue/3237.html
（9） 八风 Bāfēng,/lilunshuji/zhenjiuxue/3238.html
一、毫针刺法,/lilunshuji/zhenjiuxue/93-6-1.html
一、毫针刺法,/lilunshuji/zhenjiuxue/93-6-1.html
二、灸法,/lilunshuji/zhenjiuxue/93-6-2.html
[附] 拔罐法,/lilunshuji/zhenjiuxue/93-6-3.html
三、空位注射疗法,/lilunshuji/zhenjiuxue/93-6-4.html
四、耳针疗法,/lilunshuji/zhenjiuxue/93-6-5.html
五、头针疗法,/lilunshuji/zhenjiuxue/93-6-6.html
一、按摩疗法,/lilunshuji/zhenjiuxue/93-7-1.html
一、按摩疗法,/lilunshuji/zhenjiuxue/93-7-1.html
二、发泡疗法,/lilunshuji/zhenjiuxue/93-7-2.html
三、熏洗疗法,/lilunshuji/zhenjiuxue/93-7-3.html
四、敷药法,/lilunshuji/zhenjiuxue/93-7-4.html
五、热熨法,/lilunshuji/zhenjiuxue/93-7-5.html
六、贴药法,/lilunshuji/zhenjiuxue/93-7-6.html
七、吹药法,/lilunshuji/zhenjiuxue/93-7-7.html
一、中风,/lilunshuji/zhenjiuxue/93-8-1.html
一、中风,/lilunshuji/zhenjiuxue/93-8-1.html
二、感冒,/lilunshuji/zhenjiuxue/93-8-2.html
三、中暑,/lilunshuji/zhenjiuxue/93-8-3.html
四、哮喘,/lilunshuji/zhenjiuxue/93-8-4.html
五、呕吐（附：呃逆）,/lilunshuji/zhenjiuxue/93-8-5.html
六、泻泄,/lilunshuji/zhenjiuxue/93-8-6.html
七、痢疾,/lilunshuji/zhenjiuxue/93-8-7.html
八、便秘,/lilunshuji/zhenjiuxue/93-8-8.html
九、癃闭,/lilunshuji/zhenjiuxue/93-8-9.html
十、淋证,/lilunshuji/zhenjiuxue/93-8-10.html
十一、遗精,/lilunshuji/zhenjiuxue/93-8-11.html
十二、阳痿,/lilunshuji/zhenjiuxue/93-8-12.html
十三、不寐,/lilunshuji/zhenjiuxue/93-8-13.html
十四、癫狂,/lilunshuji/zhenjiuxue/93-8-14.html
十五、痫证,/lilunshuji/zhenjiuxue/93-8-15.html
十六、眩晕,/lilunshuji/zhenjiuxue/93-8-16.html
十七、头痛,/lilunshuji/zhenjiuxue/93-8-17.html
十八、痹症,/lilunshuji/zhenjiuxue/93-8-18.html
十九、痿证,/lilunshuji/zhenjiuxue/93-8-19.html
二十、面瘫,/lilunshuji/zhenjiuxue/93-8-20.html
二十一、坐骨神经痛,/lilunshuji/zhenjiuxue/93-8-21.html
二十二、痛经,/lilunshuji/zhenjiuxue/93-8-22.html
二十三、胎位不正,/lilunshuji/zhenjiuxue/93-8-23.html
二十四、肠痈,/lilunshuji/zhenjiuxue/93-8-24.html
二十五、扭伤,/lilunshuji/zhenjiuxue/93-8-25.html
二十六、耳鸣、耳聋,/lilunshuji/zhenjiuxue/93-8-26.html
二十七、牙痛,/lilunshuji/zhenjiuxue/93-8-27.html
